      0.1 200 200 1 1000 1000 500 750
Adamantite Sword 0 75 10 5000 50 250 100
Diamond Sword 0 100 15 10000 750 500 1000
Iron Sword 0 15 3 100 250 100 50
Mythril Sword 0 50 8 2000 200 50 150
Steel Sword 0 30 5 1000 150 150 50
Wooden Sword 0 5 1 10 50 100 250
Adamantite Chest 0 1250 10 5000 50 250 100
Diamond Chest 0 1500 15 10000 750 500 1000
Iron Chest 0 500 3 100 250 100 50
Mythril Chest 0 1000 8 2000 200 50 150
Steel Chest 0 800 5 1000 150 150 50
Wooden Chest 0 200 1 10 50 100 250
